PERMISSION,STATUS,INFO,DESCRIPTION,CODE MAPPINGS,app,source_path,NO,SCOPE,SEVERITY
android.permission.BLUETOOTH_SCAN,dangerous,required for discovering and pairing Bluetooth devices.,Required to be able to discover and pair nearby Bluetooth devices.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/abb/cdblesdk/connection/device/CDBleBaseDevice.java                                                                                                                                                                                                    io/digital_key/internal/TlsBle.java                                                                                                                                                                                                    io/digital_key/internal/g.java                                                                                                                                                                                                    t/d.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.CAMERA,dangerous,take pictures and videos,Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.,,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.CHANGE_NETWORK_STATE,normal,change network connectivity,Allows applications to change network connectivity state.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/abb/junoappsdk/AppSdkInitializer.java                                                                                                                                                                                                    com/bumptech/glide/manager/q.java                                                                                                                                                                                                    com/idemia/deviceagent/OTDeviceAgent.java                                                                                                                                                                                                    com/mapbox/common/module/okhttp/RestrictedClientsProvider.java                                                                                                                                                                                                    o1/d.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.FOREGROUND_SERVICE,normal,enables regular apps to use Service.startForeground.,Allows a regular application to use Service.startForeground.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/lokalise/sdk/Lokalise.java                                                                                                                                                                                                    com/mapbox/common/LifecycleMonitorAndroid.java                                                                                                                                                                                                    com/optimizely/ab/android/datafile_handler/DatafileService.java                                                                                                                                                                                                    com/salesforce/marketingcloud/c.java                                                                                                                                                                                                    jp/co/denso/dklib/BeaconReceiverService.java                                                                                                                                                                                                    jp/co/denso/dklib/BlankReceiverService.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    n7/f.java                                                                                                                                                                                                    org/forgerock/android/auth/DefaultSingleSignOnManager.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.GET_ACCOUNTS,dangerous,list accounts,Allows access to the list of accounts in the Accounts Service.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                org/forgerock/android/auth/AccountSingleSignOnManager.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.HIGH_SAMPLING_RATE_SENSORS,normal,Access higher sampling rate sensor data,Allows an app to access sensor data with a sampling rate greater than 200 Hz.,,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.INTERNET,normal,full Internet access,Allows an application to create network sockets.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                b0/a.java                                                                                                                                                                                                    com/abb/junoappsdk/AppSdkInitializer.java                                                                                                                                                                                                    com/apptentive/android/sdk/network/HttpRequest.java                                                                                                                                                                                                    com/apptentive/android/sdk/util/image/ImageUtil.java                                                                                                                                                                                                    com/apptentive/android/sdk/util/task/ApptentiveDownloaderTask.java                                                                                                                                                                                                    com/bumptech/glide/load/data/j.java                                                                                                                                                                                                    com/datadog/trace/api/Config.java                                                                                                                                                                                                    com/eclipsesource/v8/debug/V8DebugServer.java                                                                                                                                                                                                    com/fasterxml/jackson/core/TokenStreamFactory.java                                                                                                                                                                                                    com/idemia/deviceagent/api/internal/c.java                                                                                                                                                                                                    com/idemia/deviceagent/api/log/b.java                                                                                                                                                                                                    com/lokalise/sdk/Lokalise.java                                                                                                                                                                                                    com/lokalise/sdk/api/SdkOkHttpClient.java                                                                                                                                                                                                    com/mapbox/api/directions/v5/d.java                                                                                                                                                                                                    com/mapbox/common/module/okhttp/LazyClient.java                                                                                                                                                                                                    com/mapbox/common/module/okhttp/MapboxOkHttpService.java                                                                                                                                                                                                    com/mapbox/common/module/okhttp/RestrictedClientsProvider.java                                                                                                                                                                                                    com/optimizely/ab/android/event_handler/b.java                                                                                                                                                                                                    com/salesforce/marketingcloud/http/Request.java                                                                                                                                                                                                    com/salesforce/marketingcloud/media/q.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/b.java                                                                                                                                                                                                    com/salesforce/marketingcloud/sfmcsdk/components/http/NetworkManager.java                                                                                                                                                                                                    freemarker/template/utility/ClassUtil.java                                                                                                                                                                                                    io/digital_key/internal/Http.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    k0/a.java                                                                                                                                                                                                    k0/b.java                                                                                                                                                                                                    k1/a.java                                                                                                                                                                                                    k7/b.java                                                                                                                                                                                                    n7/b.java                                                                                                                                                                                                    okio/q.java                                                                                                                                                                                                    oneapp/framework/downloader/Downloader$downloadFileAndSaveToCache$1.java                                                                                                                                                                                                    oneapp/framework/network/a.java                                                                                                                                                                                                    org/forgerock/android/auth/AuthServiceClient.java                                                                                                                                                                                                    org/forgerock/android/auth/DefaultSingleSignOnManager.java                                                                                                                                                                                                    org/forgerock/android/auth/OAuth2Client.java                                                                                                                                                                                                    org/forgerock/android/auth/OkHttpClientProvider.java                                                                                                                                                                                                    org/forgerock/android/auth/UserService.java                                                                                                                                                                                                    qb/a.java                                                                                                                                                                                                    qb/c.java                                                                                                                                                                                                    qb/e.java                                                                                                                                                                                                    toyotaone/commonlib/networkconnect/NetworkConnectionHelper$networkTesting$2.java                                                                                                                                                                                                    u4/z.java                                                                                                                                                                                                    x4/b.java                                                                                                                                                                                                    y/b.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.MANAGE_ACCOUNTS,dangerous,manage the accounts list,Allows an application to perform operations like adding and removing accounts and deleting their password.,,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.NFC,normal,control Near-Field Communication,"Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.",,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.POST_NOTIFICATIONS,dangerous,allows an app to post notifications.,Allows an app to post notifications,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/apptentive/android/sdk/debug/LogMonitorSession.java                                                                                                                                                                                                    com/apptentive/android/sdk/debug/TroubleshootingNotificationBuilder.java                                                                                                                                                                                                    com/apptentive/android/sdk/module/engagement/notification/NoteInteractionNotificationAdapter.java                                                                                                                                                                                                    com/apptentive/android/sdk/module/messagecenter/ApptentiveToastNotificationManager.java                                                                                                                                                                                                    com/apptentive/android/sdk/util/NotificationUtils.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/NotificationManager.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/b.java                                                                                                                                                                                                    jp/co/denso/dklib/BeaconReceiverService.java                                                                                                                                                                                                    jp/co/denso/dklib/BlankReceiverService.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.READ_CALENDAR,dangerous,read calendar events,Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            eq/b.java                                                                                                                                                                                                    net/sqlcipher/AbstractCursor.java                                                                                                                                                                                                    net/sqlcipher/database/SqliteWrapper.java                                                                                                                                                                                                    r0/c.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.READ_CONTACTS,dangerous,read contact data,Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                eq/b.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents,Allows an application to read from external storage.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/apptentive/android/sdk/conversation/FileMessageStore.java                                                                                                                                                                                                    com/apptentive/android/sdk/debug/ApptentiveAttachmentFileProvider.java                                                                                                                                                                                                    com/apptentive/android/sdk/serialization/ObjectSerialization.java                                                                                                                                                                                                    com/apptentive/android/sdk/storage/FileSerializer.java                                                                                                                                                                                                    com/apptentive/android/sdk/util/Util.java                                                                                                                                                                                                    com/bumptech/glide/load/a.java                                                                                                                                                                                                    com/datadog/android/core/internal/persistence/file/batch/BatchFileHandler.java                                                                                                                                                                                                    com/eclipsesource/v8/PlatformDetector.java                                                                                                                                                                                                    com/fasterxml/jackson/core/TokenStreamFactory.java                                                                                                                                                                                                    com/pierfrancescosoffritti/androidyoutubeplayer/core/player/utils/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/sfmcsdk/util/FileUtilsKt.java                                                                                                                                                                                                    com/salesforce/marketingcloud/storage/f.java                                                                                                                                                                                                    com/salesforce/marketingcloud/tozny/AesCbcWithIntegrity.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/e.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/f.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/g.java                                                                                                                                                                                                    com/toyota/oneapp/util/p.java                                                                                                                                                                                                    io/digital_key/internal/a.java                                                                                                                                                                                                    iu/j.java                                                                                                                                                                                                    k0/f.java                                                                                                                                                                                                    k0/g.java                                                                                                                                                                                                    kb/a.java                                                                                                                                                                                                    kb/c.java                                                                                                                                                                                                    kb/d.java                                                                                                                                                                                                    n7/a.java                                                                                                                                                                                                    o0/a.java                                                                                                                                                                                                    okio/q.java                                                                                                                                                                                                    org/forgerock/android/auth/detector/CommandDetector.java                                                                                                                                                                                                    org/joda/time/tz/f.java                                                                                                                                                                                                    u7/e.java                                                                                                                                                                                                    v0/g.java                                                                                                                                                                                                    wu/a.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot,Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/abb/cdblesdk/internal/receiver/CDBleBluetoothAdapterStateReceiver.java                                                                                                                                                                                                    com/apptentive/android/sdk/debug/LogBroadcastReceiver.java                                                                                                                                                                                                    com/apptentive/android/sdk/module/engagement/notification/ApptentiveNotificationInteractionBroadcastReceiver.java                                                                                                                                                                                                    com/datadog/android/core/internal/receiver/ThreadSafeReceiver.java                                                                                                                                                                                                    com/idemia/deviceagent/OTDeviceAgent.java                                                                                                                                                                                                    com/idemia/deviceagent/data/broadcast/NetworkChangeReceiver.java                                                                                                                                                                                                    com/mapbox/common/ConnectionChangeReceiver.java                                                                                                                                                                                                    com/mapbox/common/location/LocationServiceImpl.java                                                                                                                                                                                                    com/mapbox/common/location/LocationUpdatesReceiver.java                                                                                                                                                                                                    com/optimizely/ab/android/datafile_handler/DatafileRescheduler.java                                                                                                                                                                                                    com/optimizely/ab/android/event_handler/EventRescheduler.java                                                                                                                                                                                                    com/pierfrancescosoffritti/androidyoutubeplayer/core/player/utils/NetworkListener.java                                                                                                                                                                                                    com/salesforce/marketingcloud/MCReceiver.java                                                                                                                                                                                                    com/salesforce/marketingcloud/alarms/b.java                                                                                                                                                                                                    com/salesforce/marketingcloud/behaviors/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/http/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/location/LocationReceiver.java                                                                                                                                                                                                    com/salesforce/marketingcloud/location/h.java                                                                                                                                                                                                    com/salesforce/marketingcloud/messages/push/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/proximity/b.java                                                                                                                                                                                                    com/salesforce/marketingcloud/sfmcsdk/SFMCSdkReceiver.java                                                                                                                                                                                                    com/salesforce/marketingcloud/sfmcsdk/components/behaviors/BehaviorManagerImpl.java                                                                                                                                                                                                    com/toyota/oneapp/base/base/BaseGlobalEventReceiver.java                                                                                                                                                                                                    com/toyota/oneapp/component/receiver/BluetoothStateReceiver.java                                                                                                                                                                                                    com/toyota/oneapp/component/receiver/NetworkStateReceiver.java                                                                                                                                                                                                    com/toyota/oneapp/receiver/TokenReceiver.java                                                                                                                                                                                                    com/toyota/oneapp/ui/fullclimate/ui/schedule/list/ClimateScheduleStellantisVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/fullclimate/ui/schedule/modify/ModifyClimateScheduleStellantisVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/fullclimate/ui/turnoff/FullClimateTurnOffVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/olddashboard/DashboardOldViewModel.java                                                                                                                                                                                                    com/toyota/oneapp/ui/olddashboard/GuestSettingsPresenter.java                                                                                                                                                                                                    com/toyota/oneapp/ui/olddashboard/digitalkey/DashboardDigitalKeyVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/olddashboard/notifications/NotificationHistoryVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/olddashboard/remote/vm/ADKRemoteCommonVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/olddashboard/remote/vm/DashboardRemoteWrapperVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/vehiclestatus/VehicleStatusVM.java                                                                                                                                                                                                    com/toyota/oneapp/ui/vinscan/HangTightVM$broadcastReceiver$1.java                                                                                                                                                                                                    iq/a.java                                                                                                                                                                                                    jp/co/denso/dkctllib/a.java                                                                                                                                                                                                    jp/co/denso/dklib/BLEPeripheral.java                                                                                                                                                                                                    jp/co/denso/dklib/DKLib.java                                                                                                                                                                                                    net/danlew/android/joda/TimeZoneChangedReceiver.java                                                                                                                                                                                                    oneapp/app/ui/digitalkey/setup/key/DigitalKeyDownloadKeyVM.java                                                                                                                                                                                                    oneapp/app/ui/digitalkey/setup/pair/ADigitalKeyRegisterVehicleVM.java                                                                                                                                                                                                    oneapp/app/ui/evstatus/ui/base/EvStatusBaseVM.java                                                                                                                                                                                                    oneapp/app/ui/evstatus/ui/chargingtime/ChargingTimeVM.java                                                                                                                                                                                                    oneapp/app/ui/evstatus/ui/nextchargingevent/ModifyNextChargingEventVM.java                                                                                                                                                                                                    oneapp/app/ui/evstatus/ui/schedule/list/EvScheduleVM.java                                                                                                                                                                                                    oneapp/app/ui/evstatus/ui/schedule/modify/ModifyEvScheduleVM.java                                                                                                                                                                                                    oneapp/app/ui/wallbox/access/rfidcard/add/AddRfidCardVM.java                                                                                                                                                                                                    oneapp/framework/analytics/FirebaseAnalyticsProvider$appInBackgroundReceiver$1.java                                                                                                                                                                                                    oneapp/framework/sources/wallbox/WallboxPushReceiver$silentPushReceiver$1.java                                                                                                                                                                                                    oneapp/framework/work/worker/DigitalKeySyncAllKeysWorker$prepareWork$2$2.java                                                                                                                                                                                                    oneapp/mapdata/location/LocationState.java                                                                                                                                                                                                    oneapp/utils/date/TimeZoneChangeReceiver.java                                                                                                                                                                                                    oneapp/utils/providers/BluetoothServiceProvider.java                                                                                                                                                                                                    pu/c.java                                                                                                                                                                                                    qqq/b0/a.java                                                                                                                                                                                                    qqq/p/b.java,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/application_permissions.csv,,,
