NO,ISSUE,SEVERITY,STANDARDS,FILES,OPTIONS,app,source_path
2,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,warning,CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality,Show Files                                                                                                                                com/apptentive/android/sdk/storage/ApptentiveDatabaseHelper.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV1.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV2.java                                                                                                                                      com/apptentive/android/sdk/storage/DatabaseMigratorV3.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/SdkDbDaoImpl.java                                                                                                                                      com/optimizely/ab/android/event_handler/e.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/a.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/b.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/c.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/e.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/f.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/g.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/h.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/i.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/j.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/k.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/l.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/m.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/a.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/b.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/c.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/d.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/e.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/f.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/g.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/h.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/i.java                                                                                                                                      com/salesforce/marketingcloud/storage/db/upgrades/j.java                                                                                                                                      net/sqlcipher/DatabaseUtils.java                                                                                                                                      net/sqlcipher/database/SQLiteDatabase.java,Suppress the rule android_sql_raw_query in com.toyota.oneapp.eu                         Suppress the rule android_sql_raw_query in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
3,This App uses SQL Cipher. SQLCipher provides 256-bit AES encryption to sqlite database files.,info,OWASP MASVS: MSTG-CRYPTO-1,i/a.java                                                                                                                            net/sqlcipher/database/SupportHelper.java,Suppress the rule android_sql_cipher_aes256 in com.toyota.oneapp.eu                         Suppress the rule android_sql_cipher_aes256 in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
4,"Files may contain hardcoded sensitive information like usernames, passwords, keys etc.",warning,CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14,Show Files                                                                                                                                ar/RawTextSource.java                                                                                                                                      bi/ConsentDomainPurpose.java                                                                                                                                      com/abb/junoappsdk/model/TokenProfile.java                                                                                                                                      com/abb/junoappsdk/network/http/model/AbbOAuth2Response.java                                                                                                                                      com/abb/junoappsdk/network/http/model/GetBluetoothSessionKey.java                                                                                                                                      com/apptentive/android/sdk/conversation/ConversationMetadataItem.java                                                                                                                                      com/bumptech/glide/load/engine/c.java                                                                                                                                      com/bumptech/glide/load/engine/n.java                                                                                                                                      com/bumptech/glide/load/engine/u.java                                                                                                                                      com/datadog/android/rum/internal/domain/scope/e.java                                                                                                                                      com/datadog/trace/api/Config.java                                                                                                                                      com/idemia/deviceagent/iotc/model/payloads/payloadValues/DeactivationDataPayloadValueDTO.java                                                                                                                                      com/idemia/keyless/core/vehicle/message/handshake/vdp/r0.java                                                                                                                                      com/idemia/keyless/core/vehicle/message/handshake/vdp/v0.java                                                                                                                                      com/idemia/keyless/core/vehicle/message/handshake/vdp/x0.java                                                                                                                                      com/lokalise/sdk/LokaliseResources.java                                                                                                                                      com/lokalise/sdk/api/poko/Translation.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/SdkDbDaoImpl.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/Table.java                                                                                                                                      com/lokalise/sdk/storage/sqlite/model/SdkTranslation.java                                                                                                                                      com/mapbox/common/MmeTelemetryProperties.java                                                                                                                                      com/mapbox/common/location/GoogleLiveTrackingClient.java                                                                                                                                      com/mapbox/maps/ThreadChecker.java                                                                                                                                      com/mapbox/maps/plugin/animation/MapAnimationOwnerRegistry.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/CircleAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/CircleAnnotationOptions.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PointAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PointAnnotationOptions.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolygonAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolygonAnnotationOptions.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolylineAnnotation.java                                                                                                                                      com/mapbox/maps/plugin/annotation/generated/PolylineAnnotationOptions.java                                                                                                                                      com/optimizely/ab/config/Attribute.java                                                                                                                                      com/optimizely/ab/config/DatafileProjectConfig.java                                                                                                                                      com/optimizely/ab/config/EventType.java                                                                                                                                      com/optimizely/ab/config/Experiment.java                                                                                                                                      com/optimizely/ab/config/FeatureFlag.java                                                                                                                                      com/optimizely/ab/config/FeatureVariable.java                                                                                                                                      com/optimizely/ab/config/Variation.java                                                                                                                                      com/optimizely/ab/event/internal/payload/DecisionMetadata.java                                                                                                                                      com/optimizely/ab/notification/h.java                                                                                                                                      com/salesforce/marketingcloud/events/Rule.java                                                                                                                                      com/salesforce/marketingcloud/events/Trigger.java                                                                                                                                      com/salesforce/marketingcloud/registration/Registration.java                                                                                                                                      com/toyota/oneapp/digitalkey/ui/receivedshare/DigitalKeyReceivedShareDialogFragmentArguments.java                                                                                                                                      com/toyota/oneapp/domainoneapp/account/IDPTokenExchangeRequest.java                                                                                                                                      com/toyota/oneapp/domainoneapp/combineddataconsent/SubscriptionDecline.java                                                                                                                                      com/toyota/oneapp/domainoneapp/subscription/RSATokenResponsePayload.java                                                                                                                                      com/toyota/oneapp/domainoneapp/vehicle/Features.java                                                                                                                                      com/toyota/oneapp/ui/consents/details/adapter/ConsentItem.java                                                                                                                                      com/toyota/oneapp/ui/consents/parcel/ConsentDomainPurposeParcel.java                                                                                                                                      com/toyota/oneapp/ui/garage/viewmodel/WebPaymentViewModel.java                                                                                                                                      com/toyota/oneapp/ui/notification/settings/adapter/d.java                                                                                                                                      com/toyota/oneapp/ui/olddashboard/digitalkey/DashboardDigitalKeyGuestInvitesVM.java                                                                                                                                      com/toyota/oneapp/ui/vehiclestatus/adapter/a.java                                                                                                                                      io/reactivex/internal/schedulers/SchedulerPoolFactory.java                                                                                                                                      io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory.java                                                                                                                                      jp/co/denso/dklib/DKLogRegstration.java                                                                                                                                      jp/co/denso/dklib/DKSettings.java                                                                                                                                      oi/IFrameMetadata.java                                                                                                                                      oi/IFrameParams.java                                                                                                                                      oneapp/app/ui/support/supportform/a.java                                                                                                                                      oneapp/domain/appfeatures/AppFeature.java                                                                                                                                      oneapp/domain/dto/garage/OrdersList.java                                                                                                                                      oneapp/domain/internal/climate/ClimateType.java                                                                                                                                      oneapp/framework/db/entities/notification/NotificationBadgeEntity.java                                                                                                                                      oneapp/framework/network/f.java                                                                                                                                      oneapp/framework/network/models/Attributes.java                                                                                                                                      oneapp/framework/network/models/Step.java                                                                                                                                      oneapp/framework/network/models/payments/IFrameMetadataResponse.java                                                                                                                                      oneapp/framework/sources/preferences/old/SingletonPreferenceModel.java                                                                                                                                      oneapp/usecases/support/supportform/SupportFormState.java                                                                                                                                      oneapp/utilsnative/NativeConstants.java                                                                                                                                      org/forgerock/android/auth/UserInfo.java                                                                                                                                      org/forgerock/android/auth/ui/entity/ConstantsKt.java                                                                                                                                      org/forgerock/android/auth/ui/interceptor/PasswordInterceptorKt.java                                                                                                                                      org/forgerock/android/auth/ui/page/FRConstant.java                                                                                                                                      org/forgerock/android/auth/ui/page/signin/InputPasswordPageFragment.java                                                                                                                                      q0/d.java                                                                                                                                      r/CDBleBaseRequestOptions.java                                                                                                                                      r/CDBleBaseResponseOptions.java                                                                                                                                      r/QueryApnConfigurationResponseBody.java                                                                                                                                      r/QueryWifiConfigurationResponseBody.java                                                                                                                                      rx/internal/schedulers/NewThreadWorker.java                                                                                                                                      s7/d.java                                                                                                                                      s7/f.java                                                                                                                                      w7/d.java                                                                                                                                      x/SdkBluetoothSessionKey.java                                                                                                                                      yc/b.java,Suppress the rule android_hardcoded in com.toyota.oneapp.eu                         Suppress the rule android_hardcoded in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
5,IP Address disclosure,warning,CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2,Show Files                                                                                                                                com/nimbusds/jose/jwk/Curve.java                                                                                                                                      mr/b.java                                                                                                                                      pr/a.java                                                                                                                                      qo/a.java                                                                                                                                      rr/a.java                                                                                                                                      sr/b.java                                                                                                                                      tr/a.java                                                                                                                                      ts/e.java                                                                                                                                      ur/a.java                                                                                                                                      vr/a.java                                                                                                                                      wr/b.java                                                                                                                                      xr/b.java                                                                                                                                      zr/j.java,Suppress the rule android_ip_disclosure in com.toyota.oneapp.eu                         Suppress the rule android_ip_disclosure in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
6,This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.,secure,OWASP MASVS: MSTG-NETWORK-4,Show Files                                                                                                                                b6/a.java                                                                                                                                      com/idemia/deviceagent/api/internal/c.java                                                                                                                                      com/idemia/deviceagent/api/log/b.java                                                                                                                                      com/lokalise/sdk/api/RetrofitInitImpl.java                                                                                                                                      com/mapbox/common/module/okhttp/CertificatePinnerFactory.java                                                                                                                                      oneapp/framework/di/NetworkModuleKt.java                                                                                                                                      oneapp/framework/network/a.java                                                                                                                                      org/forgerock/android/auth/OkHttpClientProvider.java                                                                                                                                      u4/w.java                                                                                                                                      v4/g.java                                                                                                                                      x4/b.java                                                                                                                                      y/b.java,Suppress the rule android_ssl_pinning in com.toyota.oneapp.eu                         Suppress the rule android_ssl_pinning in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
7,This App may request root (Super User) privileges.,warning,CWE: CWE-250: Execution with Unnecessary Privileges                                               OWASP MASVS: MSTG-RESILIENCE-1,Show Files                                                                                                                                com/toyota/oneapp/util/p.java                                                                                                                                      kb/d.java                                                                                                                                      org/forgerock/android/auth/detector/RootAppDetector.java                                                                                                                                      org/forgerock/android/auth/detector/RootCloakingAppDetector.java,Suppress the rule android_su_detect in com.toyota.oneapp.eu                         Suppress the rule android_su_detect in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
8,App can read/write to External Storage. Any App can read data written to External Storage.,warning,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,Show Files                                                                                                                                com/apptentive/android/sdk/util/Util.java                                                                                                                                      com/apptentive/android/sdk/util/image/ImageGridViewAdapter.java                                                                                                                                      com/gkemon/xmltopdf/custom/OAPdfGenerator.java                                                                                                                                      j4/d.java                                                                                                                                      jp/co/denso/dklib/DebugLog.java                                                                                                                                      jp/co/denso/dklib/DeviceAgentLog.java,Suppress the rule android_read_write_external in com.toyota.oneapp.eu                         Suppress the rule android_read_write_external in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
9,App can write to App Directory. Sensitive Information should be encrypted.,info,CWE: CWE-276: Incorrect Default Permissions                                               OWASP MASVS: MSTG-STORAGE-14,com/lokalise/sdk/storage/preferences/LokaliseInstallationInfo.java                                                                                                                            q5/a.java,Suppress the rule android_write_app_dir in com.toyota.oneapp.eu                         Suppress the rule android_write_app_dir in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
10,The App uses an insecure Random Number Generator.,warning,CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6,Show Files                                                                                                                                com/apptentive/android/sdk/module/engagement/logic/DefaultRandomPercentProvider.java                                                                                                                                      com/apptentive/android/sdk/module/engagement/notification/NoteInteractionNotificationAdapter.java                                                                                                                                      com/apptentive/android/sdk/network/HttpRequestRetryPolicyDefault.java                                                                                                                                      com/datadog/android/tracing/a.java                                                                                                                                      com/datadog/opentracing/StringCachingBigInteger.java                                                                                                                                      com/datadog/opentracing/c.java                                                                                                                                      jp/co/denso/dklib/DKSettings.java                                                                                                                                      ms/c.java                                                                                                                                      ms/d.java                                                                                                                                      org/forgerock/android/auth/collector/DeviceIdentifier.java                                                                                                                                      ss/c.java,Suppress the rule android_insecure_random in com.toyota.oneapp.eu                         Suppress the rule android_insecure_random in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
11,Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.,warning,CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7,com/pierfrancescosoffritti/androidyoutubeplayer/core/player/views/j.java                                                                                                                            com/toyota/oneapp/ui/garage/SubscriptionPayment17CYActivity.java                                                                                                                            com/toyota/oneapp/ui/garage/activity/WebPaymentActivity.java,Suppress the rule android_webview in com.toyota.oneapp.eu                         Suppress the rule android_webview in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
12,Ensure that user controlled URLs never reaches the Webview. Enabling file access from URLs in WebView can leak sensitive information from the file system.,warning,CWE: CWE-200: Information Exposure                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7,Show Files                                                                                                                                com/toyota/oneapp/ui/garage/SubscriptionPayment17CYActivity.java                                                                                                                                      com/toyota/oneapp/ui/garage/activity/WebPaymentActivity.java                                                                                                                                      com/toyota/oneapp/ui/web/InternalWebActivity.java                                                                                                                                      org/forgerock/android/auth/ui/page/social/SocialRedirectPageFragment.java,Suppress the rule android_webview_allow_file_from_url in com.toyota.oneapp.eu                         Suppress the rule android_webview_allow_file_from_url in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
13,The App uses the encryption mode CBC with PKCS5/PKCS7 padding. This configuration is vulnerable to padding oracle attacks.,high,CWE: CWE-649: Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-3,iu/j.java                                                                                                                            org/forgerock/android/auth/ui/extension/AESUtil.java                                                                                                                            ya/d.java,Suppress the rule cbc_padding_oracle in com.toyota.oneapp.eu                         Suppress the rule cbc_padding_oracle in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
14,App creates temp file. Sensitive information should never be written into a temp file.,warning,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,com/eclipsesource/v8/NodeJS.java                                                                                                                            un/a.java,Suppress the rule android_temp_file in com.toyota.oneapp.eu                         Suppress the rule android_temp_file in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
15,This App may have root detection capabilities.,secure,OWASP MASVS: MSTG-RESILIENCE-1,Show Files                                                                                                                                com/toyota/oneapp/util/p.java                                                                                                                                      kb/d.java                                                                                                                                      org/forgerock/android/auth/detector/BuildTagsDetector.java                                                                                                                                      org/forgerock/android/auth/detector/RootApkDetector.java,Suppress the rule android_detect_root in com.toyota.oneapp.eu                         Suppress the rule android_detect_root in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
16,SHA-1 is a weak hash known to have hash collisions.,warning,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,com/salesforce/marketingcloud/sfmcsdk/components/encryption/Encryptor.java                                                                                                                            com/salesforce/marketingcloud/sfmcsdk/components/encryption/SalesforceKeyGenerator.java                                                                                                                            org/forgerock/android/auth/collector/DeviceIdentifier.java,Suppress the rule android_sha1 in com.toyota.oneapp.eu                         Suppress the rule android_sha1 in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
17,Weak Encryption algorithm used,high,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,com/abb/cdblesdk/internal/util/d.java,Suppress the rule android_weak_ciphers in com.toyota.oneapp.eu                         Suppress the rule android_weak_ciphers in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
18,This App copies data to clipboard. Sensitive data should not be copied to clipboard as other applications can access it.,info,OWASP MASVS: MSTG-STORAGE-10,com/apptentive/android/sdk/util/Util.java                                                                                                                            com/toyota/oneapp/util/d.java,Suppress the rule android_clipboard_copy in com.toyota.oneapp.eu                         Suppress the rule android_clipboard_copy in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
19,MD5 is a weak hash known to have hash collisions.,warning,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,com/apptentive/android/sdk/util/Util.java                                                                                                                            com/salesforce/marketingcloud/util/l.java                                                                                                                            org/forgerock/android/auth/ui/extension/MD5Util.java,Suppress the rule android_md5 in com.toyota.oneapp.eu                         Suppress the rule android_md5 in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
20,This App uses SafetyNet API.,secure,OWASP MASVS: MSTG-RESILIENCE-7,org/forgerock/android/auth/callback/ReCaptchaCallback.java,Suppress the rule android_safetynet in com.toyota.oneapp.eu                         Suppress the rule android_safetynet in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
21,The file or SharedPreference is World Writable. Any App can write to the file,high,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,com/salesforce/marketingcloud/sfmcsdk/components/encryption/EncryptedSharedPreferences.java,Suppress the rule android_world_writable in com.toyota.oneapp.eu                         Suppress the rule android_world_writable in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
22,Remote WebView debugging is enabled.,high,CWE: CWE-919: Weaknesses in Mobile Applications                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-RESILIENCE-2,com/toyota/oneapp/customviews/FlexibleWebView.java,Suppress the rule android_webview_debug in com.toyota.oneapp.eu                         Suppress the rule android_webview_debug in com.toyota.oneapp.eu only from these files,Toyota,/home/jovyan/work/SOEN 321/car_app_analysis/Toyota/code_analysis.csv
